"Name","Action","Direction"
"{86C199BC-6395-49FA-965E-7B9FD0B4A7FA}","Allow","Outbound"
"{264357CC-7A47-48DC-8B0D-26B61517DCB5}","Allow","Outbound"
"{EBC0D0FC-B16D-4E7F-8737-F4A5736F2848}","Allow","Outbound"
"{37AE6943-FE1C-4E6D-864E-7ACEACFCE17E}","Allow","Outbound"
"{AFC2D960-7D9A-46F7-A042-DAD0EA92E5C5}","Allow","Outbound"
"{E5A50486-1CAA-4DA5-9B4D-16FB6361921E}","Allow","Outbound"
"{BF58DAF5-C55D-4EE2-8581-973309F0F2A1}","Allow","Outbound"
"{2DF58C6E-FDF6-4598-B753-F7AD1980D8CB}","Allow","Outbound"
"{069B20AD-D540-404E-AFE8-29B2C4849656}","Allow","Outbound"
"{4C7DAED6-C550-46EA-AC63-9C64D8A1C459}","Allow","Outbound"
"{FE7A6192-59A2-4100-A4EE-1F489EB775F1}","Allow","Outbound"
"{CCD1D6FC-2AE5-4471-B05F-DDC7F01B955C}","Allow","Outbound"
"{279F3A8F-E172-422A-9656-2CBE6656E646}","Allow","Inbound"
"{CBA46814-CE16-41BD-B6AC-33269C36EBC0}","Allow","Outbound"
"{CB1DBA00-7D57-4AE2-B28A-E867837CF723}","Allow","Outbound"
"{6CFC90D9-F507-4589-8550-444AA3DE4823}","Allow","Outbound"
"{09702B39-1E4E-45F2-B4C8-5F848766D7C6}","Allow","Inbound"
"{A6F51DAF-D402-4D65-A325-6FF5F60705E1}","Allow","Outbound"
"{3B85CDD1-1B2A-4B04-B7DA-BF461FED854A}","Allow","Outbound"
"{C135E93C-CABE-4C59-8F2E-0FDEEBAF9823}","Allow","Outbound"
"UDP Query User{0561031F-CB81-4DA0-9251-65672C4BFECC}C:\program files\videolan\vlc\vlc.exe","Block","Inbound"
"TCP Query User{93AD3E7F-EC95-4453-BDF8-E6BAA2A4EF1A}C:\program files\videolan\vlc\vlc.exe","Block","Inbound"
"{42C347A3-61A0-437C-B0F7-35C7A41028C4}","Allow","Outbound"
"{86297E7D-FF03-4FF2-95C2-0B2060272BD1}","Allow","Outbound"
"{2A3A2329-6E81-45DC-909C-B2978E158454}","Allow","Inbound"
"{B8379082-8B58-412D-A375-3D9D00A635EE}","Allow","Outbound"
"{94966792-1CE1-4DF8-84AF-713A86EC1C73}","Allow","Outbound"
"{1A7166E9-C0DC-4DF7-93E2-CDEA3A2D7C4B}","Allow","Inbound"
"{266FACA4-CEA9-4534-82C9-C13D9C1B7B82}","Allow","Outbound"
"{FC4462BC-29D9-44EF-8FC3-34CB7352E8AB}","Allow","Outbound"
"{FFFA3AD6-2564-49AB-96FA-E4FC18182CC6}","Allow","Outbound"
"{6DDA9C30-7266-4014-BDF4-73D02882CC36}","Allow","Outbound"
"{5946466E-3857-4035-A289-834DD253A8C5}","Allow","Outbound"
"{4DD146C1-EE51-4C24-AA9E-C4D96FF3B9DE}","Allow","Outbound"
"{2BA70598-38E0-45A6-A70F-6A28BF4A0014}","Allow","Outbound"
"{767C52D0-1DE5-4741-BE0E-088B294AC5CA}","Allow","Outbound"
"{FA94FDFE-7166-435F-901E-AD46D9336DC5}","Allow","Outbound"
"{7D02E8E9-679D-46FA-A7A4-235152D31EE2}","Allow","Outbound"
"{BCFA9205-A66B-49CB-8DD3-313C7860AE6D}","Allow","Outbound"
"{D49A50EF-E61F-4445-AF86-2C956E709446}","Allow","Outbound"
"{8EA0932E-D6D7-43E7-9922-8E58AE778B85}","Allow","Outbound"
"{E6A21486-D64A-4E93-89FF-F6D7B8604CF8}","Allow","Outbound"
"{FC0E6AF9-4827-48C0-B28C-18AAA9D3B6A2}","Allow","Outbound"
"{CA5B5908-F17B-426E-8A08-3DA966D1050E}","Allow","Outbound"
"{0156F2FC-84CA-4D5F-918B-F91075C35F12}","Allow","Outbound"
"{141A2255-922A-448A-8852-F422DC87E686}","Allow","Outbound"
"{04525C33-12A7-4832-80CE-164140EA217A}","Allow","Inbound"
"{00075B67-602E-4397-8680-9C8114071416}","Allow","Outbound"
"{E1DE61A1-79CF-447F-B525-7207A66CCF4E}","Allow","Outbound"
"{DA42D402-AA23-44C7-B3AB-91798D41A508}","Allow","Outbound"
"{DF66CA16-5581-4408-80EE-B867414CC8CC}","Allow","Outbound"
"{C69157FB-89A0-4A40-91AB-19FEA6B16B27}","Allow","Outbound"
"{ED983481-A5A0-42DF-98BE-707CC121FCCB}","Allow","Outbound"
"{C17A866C-2535-40E2-978C-4D066DE39C4E}","Allow","Outbound"
"{81591F58-2F15-4E86-8716-CB432345EAB8}","Allow","Outbound"
"{FC7AB2DA-B035-430E-A28A-EF9F5E88DE03}","Allow","Outbound"
"{A68FC369-5357-4359-B786-478730CED49F}","Allow","Outbound"
"{B299810D-4780-4093-A0A4-5D4DFED88A63}","Allow","Inbound"
"{4D6215D0-2CED-4476-BF86-17E753E0DAA5}","Allow","Outbound"
"{127D4E55-2F54-4538-9EFD-4D2020C61335}","Allow","Outbound"
"{6F01F242-6545-43BB-B5EF-54C9031ED60D}","Allow","Outbound"
"{8DC0798F-9BFC-467B-BA86-C3027A31E904}","Allow","Inbound"
"{93FC7CF5-4BD7-4132-88CD-9F717B89C945}","Allow","Outbound"
"{98E071B0-F4AA-4EA8-9787-BF03D5F97F19}","Allow","Inbound"
"{73A2CFBC-A1D8-47EA-A616-D11FA8C1A8B1}","Allow","Outbound"
"{9BF33643-7ECC-454E-8D7D-F7BA42EBCF2C}","Allow","Inbound"
"{2F7CD657-49A2-4269-8096-DDA266A68D26}","Allow","Outbound"
"{2AD0E387-106D-4E14-8CC7-06D02DD9A1F1}","Allow","Inbound"
"{29CAE88B-81C0-4D0D-9DC7-0FED7086BD6A}","Allow","Outbound"
"{4CD74111-C818-40D1-A1A0-5506C88C9796}","Allow","Inbound"
"{BF35E9AC-9968-4BE7-B2B8-AC2904F09549}","Allow","Outbound"
"{14F862AF-4D60-4ADF-8492-52A82F6B24DD}","Allow","Outbound"
"{39931056-D463-4824-BABF-2BB6B9F493DB}","Allow","Inbound"
"{93BA492C-3613-406A-9963-A2AFEB5C2F94}","Allow","Outbound"
"{F3C93DF3-33D6-47B2-828E-B4BD4AD2999F}","Allow","Outbound"
"{E23111BF-58A6-417F-9DA7-EE5B442C60E6}","Allow","Outbound"
"{83F9B340-0829-4062-AED8-A272AE1FFE1E}","Allow","Outbound"
"{F967C8FE-A4FE-46FC-8C9A-8E41D4648E66}","Allow","Outbound"
"{6A8BF793-F041-4B21-8163-AB7E56AE8C3D}","Allow","Outbound"
"{3FC17372-36B5-476D-AF5C-5A158687BF99}","Allow","Outbound"
"{45F4D2D9-7126-48C2-AEB3-9E8ADDAEDDC8}","Allow","Inbound"
"{779435D1-D76D-42F0-A0E1-22E1A9F8AB58}","Allow","Outbound"
"{A8BC6D4E-FEA7-4FCE-9B16-6AC59C4E9A19}","Allow","Outbound"
"{634FE992-6D13-4601-AB46-0E96D73FC6FA}","Allow","Outbound"
"{2E1263A7-75E6-4F43-B1F8-37B043C196B7}","Allow","Outbound"
"{08F485DF-DE3A-47D6-8387-CB616F587DE7}","Allow","Inbound"
"{F9CC311B-4D9C-46AD-B1C9-EA80B2F7DCA6}","Allow","Outbound"
"{22E29C89-754D-40EC-B9A6-D3639520659A}","Allow","Inbound"
"{5B6FC49B-AA72-4E2F-ACB2-1EFAEB350F92}","Block","Inbound"
"{9CB5B320-84C5-42DC-967E-E8C677A7CF2F}","Block","Inbound"
"UDP Query User{0CB16B4A-FEA5-4FBF-AB3A-144E7BCDAEAF}C:\aj\euro truck simulator 2\7launcher\tools\aria2\aria2c.exe","Allow","Inbound"
"TCP Query User{A01963A7-BB72-42F4-9E7C-E5E08EA12E0E}C:\aj\euro truck simulator 2\7launcher\tools\aria2\aria2c.exe","Allow","Inbound"
"{6ADE432E-4A01-4D01-BD3C-02757E0609DF}","Allow","Outbound"
"{4908EE10-B8F0-4721-BAD3-A5BF804642BD}","Allow","Outbound"
"{0B543606-B473-416F-8CFD-125A219311B5}","Allow","Outbound"
"{4F132076-F664-4BB7-8951-AA366871B8AE}","Allow","Outbound"
"{E58FF9B2-3C33-4A58-9B24-C4631F958555}","Allow","Outbound"
"{D51D960C-BE8D-4791-9552-AD29C012703B}","Allow","Inbound"
"{A4D1506E-2FE4-406C-BFB4-BC89C090AB15}","Allow","Outbound"
"{13887686-516F-4BC6-9325-B1D790D3C358}","Allow","Outbound"
"{478E9F1D-C154-48E6-8D74-039F6C0B761F}","Allow","Inbound"
"{6DADC477-62C4-49CB-8414-2C0DFCAB5BBC}","Allow","Outbound"
"{7B887887-231B-444E-84FB-39934F36A787}","Allow","Outbound"
"{E3645C6E-7E27-41CA-9D64-8721291B5880}","Allow","Inbound"
"{03D84AB9-836F-4824-837F-729CE57330F1}","Allow","Outbound"
"{8E3542B8-C1A8-42F4-987A-F4CA310B4DA2}","Allow","Outbound"
"{63EB98A4-F4FB-48B0-87E8-63518AC12AD4}","Allow","Inbound"
"{7D468B1C-9BFC-49E3-A350-EB5E39DD22D4}","Allow","Outbound"
"{05310214-A5AD-4E67-836E-24F68A4E3ECF}","Allow","Inbound"
"{4353F13B-CBEE-4E7A-82F0-2683E659F25A}","Allow","Outbound"
"{AB8C4159-5242-4DE8-81F5-7D41C2EFF5D4}","Allow","Inbound"
"{B47E057F-5DBE-4EA0-B454-369391FAF3D1}","Allow","Outbound"
"{EBA02297-88C3-44CC-AAE4-ADE19D7466B1}","Allow","Inbound"
"{28393945-BA78-4D72-B9CB-6B84BBB721AE}","Allow","Outbound"
"{ECBBE0B4-71C5-4D25-AB51-83EE5C5F5258}","Allow","Outbound"
"{4739DA72-7CB9-47F9-B606-092C15C04CD8}","Allow","Inbound"
"{8EAC5E1A-F8B8-4F8E-B993-9D55E9C47F51}","Allow","Outbound"
"{E1028AA5-CE57-4DF3-9FBD-6057298008F1}","Allow","Outbound"
"{6224B0CB-51F9-4212-8733-051F26EDBB4B}","Allow","Outbound"
"{93202786-8470-4F8A-9CE7-1955A19B0CFD}","Allow","Outbound"
"{54EE4E52-F34D-4F39-8401-7234791CBAAB}","Allow","Outbound"
"{3ECA7F55-78A4-4A57-BF0E-A439385FD17E}","Allow","Outbound"
"{08F0962D-10AA-40F9-A870-CAB7D7F2E488}","Allow","Outbound"
"{B534A0A3-C509-4E6F-82FF-F96C3EE4686C}","Allow","Outbound"
"{F4E5D0B6-9EB2-4DE5-8FA6-AE3E63358726}","Allow","Inbound"
"{358EDED9-F78F-478F-95A2-0119D9F9A718}","Allow","Outbound"
"{A8143985-CC85-420D-A27B-60F6DAA053CE}","Allow","Outbound"
"{C24ABAA0-44F7-4E4B-80B9-6A631A00277F}","Allow","Inbound"
"{A4948BC5-A39D-4BDE-A60F-E0CF25AECEEA}","Allow","Inbound"
"{D6D27B6F-5B67-4EB5-9853-A229DEF9B0C8}","Allow","Inbound"
"{059A1234-56FE-4A86-802D-45BD6B9AEFF8}","Allow","Outbound"
"{E719D6A1-7E2B-40A5-97BB-CC5569758AA0}","Allow","Inbound"
"{6F0FB2DC-433A-4FCA-B0ED-B8B903419C1D}","Allow","Outbound"
"{16248946-F3A5-44A8-81B2-459ABBC3D2F4}","Allow","Outbound"
"{D0EF91FE-14F9-4345-9AF7-865A7CA5BAF2}","Allow","Inbound"
"{9D1873F7-512C-4744-8E03-F90399C53D92}","Allow","Outbound"
"{BB8599D5-442F-4652-8DD0-5BAA6866E3E0}","Allow","Outbound"
"{DDF64EC8-6A5D-40CC-B4DD-A4BCD33A3128}","Allow","Outbound"
"{85ECD963-BA2A-4D6B-8DDD-3BB769B283C4}","Allow","Inbound"
"windows_ie_ac_001-Out-Allow-AllCapabilities","Allow","Outbound"
"Microsoft.AccountsControl_cw5n1h2txyewy-Out-Allow-AllCapabilities","Allow","Outbound"
"Microsoft.Win32WebViewHost_cw5n1h2txyewy-Out-Allow-AllCapabilities","Allow","Outbound"
"Microsoft.Win32WebViewHost_cw5n1h2txyewy-In-Allow-ServerCapability","Allow","Inbound"
"Microsoft.Windows.Apprep.ChxApp_cw5n1h2txyewy-Out-Allow-AllCapabilities","Allow","Outbound"
"Microsoft.Windows.CloudExperienceHost_cw5n1h2txyewy-Out-Allow-AllCapabilities","Allow","Outbound"
"Microsoft.Windows.CloudExperienceHost_cw5n1h2txyewy-In-Allow-ServerCapability","Allow","Inbound"
"Microsoft.Windows.ContentDeliveryManager_cw5n1h2txyewy-Out-Allow-AllCapabilities","Allow","Outbound"
"Microsoft.Windows.ParentalControls_cw5n1h2txyewy-Out-Allow-AllCapabilities","Allow","Outbound"
"Microsoft.Windows.PeopleExperienceHost_cw5n1h2txyewy-Out-Allow-AllCapabilities","Allow","Outbound"
"Microsoft.Windows.PrintQueueActionCenter_cw5n1h2txyewy-Out-Allow-AllCapabilities","Allow","Outbound"
"Microsoft.XboxGameCallableUI_cw5n1h2txyewy-Out-Allow-AllCapabilities","Allow","Outbound"
"MicrosoftWindows.Client.FileExp_cw5n1h2txyewy-Out-Allow-AllCapabilities","Allow","Outbound"
"MicrosoftWindows.Client.OOBE_cw5n1h2txyewy-Out-Allow-AllCapabilities","Allow","Outbound"
"Windows.PrintDialog_cw5n1h2txyewy-Out-Allow-AllCapabilities","Allow","Outbound"
"Microsoft.Windows.NarratorQuickStart_8wekyb3d8bbwe-Out-Allow-AllCapabilities","Allow","Outbound"
"Microsoft.StorePurchaseApp_8wekyb3d8bbwe-Out-Allow-AllCapabilities","Allow","Outbound"
"Microsoft.StorePurchaseApp_8wekyb3d8bbwe-In-Allow-ServerCapability","Allow","Inbound"
"Microsoft.Todos_8wekyb3d8bbwe-Out-Allow-AllCapabilities","Allow","Outbound"
"Microsoft.Todos_8wekyb3d8bbwe-In-Allow-ServerCapability","Allow","Inbound"
"Microsoft.BingNews_8wekyb3d8bbwe-Out-Allow-AllCapabilities","Allow","Outbound"
"6229MusicallyWorld.VidTuber-DownloaderforYouTube.F_0aen7fxb4nfqm-Out-Allow-AllCapabilities","Allow","Outbound"
"6229MusicallyWorld.VidTuber-DownloaderforYouTube.F_0aen7fxb4nfqm-In-Allow-ServerCapability","Allow","Inbound"
"Microsoft.WindowsFeedbackHub_8wekyb3d8bbwe-Out-Allow-AllCapabilities","Allow","Outbound"
"Microsoft.WindowsFeedbackHub_8wekyb3d8bbwe-In-Allow-ServerCapability","Allow","Inbound"
"Microsoft.BingWeather_8wekyb3d8bbwe-Out-Allow-AllCapabilities","Allow","Outbound"
"Microsoft.BingWeather_8wekyb3d8bbwe-In-Allow-ServerCapability","Allow","Inbound"
"AppUp.IntelGraphicsExperience_8j3eq9eme6ctt-Out-Allow-AllCapabilities","Allow","Outbound"
"Microsoft.People_8wekyb3d8bbwe-Out-Allow-AllCapabilities","Allow","Outbound"
"Microsoft.WindowsMaps_8wekyb3d8bbwe-Out-Allow-AllCapabilities","Allow","Outbound"
"MicrosoftWindows.Client.Photon_cw5n1h2txyewy-Out-Allow-AllCapabilities","Allow","Outbound"
"MicrosoftWindows.Client.Photon_cw5n1h2txyewy-In-Allow-ServerCapability","Allow","Inbound"
"5A894077.McAfeeSecurity_wafk5atnkzcwy-Out-Allow-AllCapabilities","Allow","Outbound"
"5A894077.McAfeeSecurity_wafk5atnkzcwy-In-Allow-ServerCapability","Allow","Inbound"
"MicrosoftWindows.Client.WebExperience_cw5n1h2txyewy-Out-Allow-AllCapabilities","Allow","Outbound"
"Microsoft.WindowsTerminal_8wekyb3d8bbwe-Out-Allow-AllCapabilities","Allow","Outbound"
"microsoft.windowscommunicationsapps_8wekyb3d8bbwe-Out-Allow-AllCapabilities","Allow","Outbound"
"microsoft.windowscommunicationsapps_8wekyb3d8bbwe-In-Allow-ServerCapability","Allow","Inbound"
"{66d2f097-d8af-44e5-858c-406dc56c2064}","Allow","Inbound"
"Microsoft.6365217CE6EB4_8wekyb3d8bbwe-Out-Allow-AllCapabilities","Allow","Outbound"
"Microsoft.6365217CE6EB4_8wekyb3d8bbwe-In-Allow-ServerCapability","Allow","Inbound"
"OpenAI.ChatGPT-Desktop_2p2nqsd0c76g0-Out-Allow-AllCapabilities","Allow","Outbound"
"OpenAI.ChatGPT-Desktop_2p2nqsd0c76g0-In-Allow-ServerCapability","Allow","Inbound"
"MicrosoftCorporationII.WindowsSubsystemForLinux_8wekyb3d8bbwe-Out-Allow-AllCapabilities","Allow","Outbound"
"Microsoft.ZuneVideo_8wekyb3d8bbwe-Out-Allow-AllCapabilities","Allow","Outbound"
"Microsoft.ZuneVideo_8wekyb3d8bbwe-In-Allow-ServerCapability","Allow","Inbound"
"Microsoft.WindowsCamera_8wekyb3d8bbwe-Out-Allow-AllCapabilities","Allow","Outbound"
"Microsoft.WindowsCamera_8wekyb3d8bbwe-In-Allow-ServerCapability","Allow","Inbound"
"Microsoft.XboxGamingOverlay_8wekyb3d8bbwe-Out-Allow-AllCapabilities","Allow","Outbound"
"Microsoft.XboxGamingOverlay_8wekyb3d8bbwe-In-Allow-ServerCapability","Allow","Inbound"
"Microsoft.WindowsAlarms_8wekyb3d8bbwe-Out-Allow-AllCapabilities","Allow","Outbound"
"Microsoft.WindowsAlarms_8wekyb3d8bbwe-In-Allow-ServerCapability","Allow","Inbound"
"Microsoft.WidgetsPlatformRuntime_8wekyb3d8bbwe-Out-Allow-AllCapabilities","Allow","Outbound"
"TCP Query User{6DC34EF7-8E34-4052-BCFA-4F0BB49B37E0}C:\program files\docker\docker\resources\com.docker.backend.exe","Allow","Inbound"
"UDP Query User{D2D4062A-F3C4-48AE-9D02-B47592983430}C:\program files\docker\docker\resources\com.docker.backend.exe","Allow","Inbound"
"Microsoft.GamingApp_8wekyb3d8bbwe-Out-Allow-AllCapabilities","Allow","Outbound"
"Microsoft.GamingApp_8wekyb3d8bbwe-In-Allow-ServerCapability","Allow","Inbound"
"Clipchamp.Clipchamp_yxz26nhyzhsrt-Out-Allow-AllCapabilities","Allow","Outbound"
"{C8147682-BB21-4E05-9424-C92D1C247842}","Allow","Inbound"
"{A6BFD5A1-A850-4097-A4CB-482B4A016D7F}","Allow","Inbound"
"{6C450137-D2F3-48A9-9520-A3D6158DA8B1}","Allow","Inbound"
"{D77767CF-D8ED-436F-A976-B87C21C5C024}","Allow","Inbound"
"{E27CB8FB-8A82-4E66-883E-4902B36485B7}","Allow","Inbound"
"{7BFF71F3-EDC6-4014-AC99-52BE0177140E}","Allow","Inbound"
"{1267BAEB-1695-49AC-A5DC-836C6497A296}","Allow","Inbound"
"{DE58F673-5E90-4E93-ACF5-FC589ACBFB87}","Allow","Inbound"
"{EDB24007-E459-4AC1-B076-24CD9BC17CE3}","Allow","Outbound"
"{75B79C2E-89E8-482F-9556-0CE73CE4EA0B}","Allow","Outbound"
"{7949FBD3-6EB4-40DA-A810-BA616ECAE026}","Allow","Inbound"
"Microsoft.WindowsStore_8wekyb3d8bbwe-Out-Allow-AllCapabilities","Allow","Outbound"
"Microsoft.WindowsStore_8wekyb3d8bbwe-In-Allow-ServerCapability","Allow","Inbound"
"{842959D1-4508-4DC1-8181-B3DD85706B6C}","Allow","Inbound"
"5319275A.WhatsAppDesktop_cv1g1gvanyjgm-Out-Allow-AllCapabilities","Allow","Outbound"
"5319275A.WhatsAppDesktop_cv1g1gvanyjgm-In-Allow-ServerCapability","Allow","Inbound"
"Microsoft.MicrosoftOfficeHub_8wekyb3d8bbwe-Out-Allow-AllCapabilities","Allow","Outbound"
"Microsoft.WindowsCalculator_8wekyb3d8bbwe-Out-Allow-AllCapabilities","Allow","Outbound"
"Microsoft.DesktopAppInstaller_8wekyb3d8bbwe-Out-Allow-AllCapabilities","Allow","Outbound"
"Microsoft.DesktopAppInstaller_8wekyb3d8bbwe-In-Allow-ServerCapability","Allow","Inbound"
"{BE3C0AB3-E690-4EAD-BA63-5EC116F709A2}","Allow","Inbound"
"{3F9D668E-7856-4720-919C-7EC678F87EC4}","Allow","Inbound"
"Microsoft.ZuneMusic_8wekyb3d8bbwe-Out-Allow-AllCapabilities","Allow","Outbound"
"Microsoft.ZuneMusic_8wekyb3d8bbwe-In-Allow-ServerCapability","Allow","Inbound"
"Microsoft.AAD.BrokerPlugin_cw5n1h2txyewy-Out-Allow-AllCapabilities","Allow","Outbound"
"Microsoft.AAD.BrokerPlugin_cw5n1h2txyewy-In-Allow-ServerCapability","Allow","Inbound"
"Microsoft.LockApp_cw5n1h2txyewy-Out-Allow-AllCapabilities","Allow","Outbound"
"Microsoft.Windows.StartMenuExperienceHost_cw5n1h2txyewy-Out-Allow-AllCapabilities","Allow","Outbound"
"Microsoft.Windows.StartMenuExperienceHost_cw5n1h2txyewy-In-Allow-ServerCapability","Allow","Inbound"
"MicrosoftWindows.Client.CBS_cw5n1h2txyewy-Out-Allow-AllCapabilities","Allow","Outbound"
"MicrosoftWindows.Client.CBS_cw5n1h2txyewy-In-Allow-ServerCapability","Allow","Inbound"
"MicrosoftWindows.Client.Core_cw5n1h2txyewy-Out-Allow-AllCapabilities","Allow","Outbound"
"MicrosoftWindows.Client.Core_cw5n1h2txyewy-In-Allow-ServerCapability","Allow","Inbound"
"MicrosoftWindows.LKG.AccountsService_cw5n1h2txyewy-Out-Allow-AllCapabilities","Allow","Outbound"
"MicrosoftWindows.LKG.DesktopSpotlight_cw5n1h2txyewy-Out-Allow-AllCapabilities","Allow","Outbound"
"MicrosoftWindows.LKG.DesktopSpotlight_cw5n1h2txyewy-In-Allow-ServerCapability","Allow","Inbound"
"MicrosoftWindows.LKG.IrisService_cw5n1h2txyewy-Out-Allow-AllCapabilities","Allow","Outbound"
"MicrosoftWindows.LKG.RulesEngine_cw5n1h2txyewy-Out-Allow-AllCapabilities","Allow","Outbound"
"MicrosoftWindows.LKG.SpeechRuntime_cw5n1h2txyewy-Out-Allow-AllCapabilities","Allow","Outbound"
"MicrosoftWindows.LKG.TwinSxS_cw5n1h2txyewy-Out-Allow-AllCapabilities","Allow","Outbound"
"WiFiDirect-KM-Driver-Out-UDP","Allow","Outbound"
"Microsoft-Windows-WLANSvc-ASP-CP-In","Allow","Inbound"
"WiFiDirect-KM-Driver-In-TCP","Allow","Inbound"
"WiFiDirect-KM-Driver-Out-TCP","Allow","Outbound"
"Microsoft-Windows-WLANSvc-ASP-CP-Out","Allow","Outbound"
"WiFiDirect-KM-Driver-In-UDP","Allow","Inbound"
"SpotifyAB.SpotifyMusic_zpdnekdrzrea0-Out-Allow-AllCapabilities","Allow","Outbound"
"{3E1A86A0-9D37-410A-BFE3-D96BDB8306C9}","Allow","Inbound"
"{1AB748E6-A18F-454F-B445-5FD424B55250}","Allow","Inbound"
"{8CEA8C29-6778-49B7-9DF4-85BEDF7AA24D}","Allow","Inbound"
"Microsoft.OfficePushNotificationUtility_8wekyb3d8bbwe-Out-Allow-AllCapabilities","Allow","Outbound"
